order_number,order_date,item_name,quantity,product_price,total_products
15877,19/07/2019 20:56,Plain Naan,1,2.6,9
15863,19/07/2019 18:17,Plain Naan,2,2.6,4
15844,18/07/2019 19:52,Plain Naan,1,2.6,4
15829,17/07/2019 17:36,Plain Naan,1,2.6,7
15820,16/07/2019 19:02,Plain Naan,3,2.6,7
15809,15/07/2019 21:30,Tandoori Roti,1,2.6,3
15799,14/07/2019 20:35,Plain Naan,1,2.6,4
15779,13/07/2019 21:33,Plain Naan,1,2.6,5
15778,13/07/2019 20:13,Plain Naan,1,2.6,6
15768,13/07/2019 18:42,Plain Naan,1,2.6,8
15767,13/07/2019 18:36,Plain Naan,1,2.6,8
15749,12/07/2019 19:21,Tandoori Roti,2,2.6,4
15740,12/07/2019 16:59,Plain Naan,4,2.6,5
15729,11/07/2019 18:27,Plain Naan,2,2.6,7
15723,10/07/2019 19:24,Plain Naan,2,2.6,8
15711,09/07/2019 17:41,Plain Naan,1,2.6,4
15708,08/07/2019 21:56,Plain Naan,1,2.6,7
15691,07/07/2019 18:40,Plain Naan,1,2.6,3
15682,06/07/2019 21:25,Plain Naan,1,2.6,6
15669,06/07/2019 19:02,Plain Naan,1,2.6,8
15665,06/07/2019 18:39,Plain Naan,1,2.6,9
15655,06/07/2019 17:15,Plain Naan,2,2.6,17
15649,05/07/2019 21:33,Plain Naan,1,2.6,4
15633,05/07/2019 17:56,Plain Naan,1,2.6,7
15630,05/07/2019 17:22,Plain Naan,2,2.6,10
15623,04/07/2019 19:02,Plain Naan,1,2.6,3
15621,04/07/2019 18:00,Plain Naan,1,2.6,4
15572,29/06/2019 21:25,Plain Naan,1,2.6,4
15569,29/06/2019 20:54,Plain Naan,2,2.6,4
15557,29/06/2019 18:13,Plain Naan,1,2.6,5
15541,28/06/2019 19:08,Plain Naan,1,2.6,4
15538,28/06/2019 18:50,Plain Naan,1,2.6,9
15519,26/06/2019 21:26,Plain Naan,1,2.6,5
15515,26/06/2019 18:40,Plain Naan,1,2.6,6
15514,26/06/2019 18:35,Plain Naan,1,2.6,5
15510,25/06/2019 20:05,Plain Naan,1,2.6,5
15489,23/06/2019 21:41,Plain Naan,2,2.6,3
15481,23/06/2019 18:21,Plain Naan,1,2.6,7
15415,19/06/2019 17:59,Plain Naan,1,2.6,9
15414,19/06/2019 17:52,Plain Naan,1,2.6,5
15388,17/06/2019 18:02,Plain Naan,1,2.6,9
15384,16/06/2019 21:16,Plain Naan,2,2.6,4
15383,16/06/2019 21:08,Plain Naan,2,2.6,9
15372,16/06/2019 18:17,Plain Naan,2,2.6,5
15356,15/06/2019 20:29,Tandoori Roti,1,2.6,7
15354,15/06/2019 20:17,Plain Naan,1,2.6,6
15328,14/06/2019 19:13,Plain Naan,1,2.6,5
15327,14/06/2019 18:39,Plain Naan,1,2.6,7
15321,14/06/2019 17:11,Plain Naan,1,2.6,5
15316,13/06/2019 18:50,Plain Naan,1,2.6,6
15311,13/06/2019 16:35,Plain Naan,1,2.6,7
15305,12/06/2019 17:23,Plain Naan,1,2.6,5
15299,11/06/2019 20:17,Plain Naan,2,2.6,4
15285,10/06/2019 17:09,Plain Naan,2,2.6,4
15260,08/06/2019 21:15,Plain Naan,1,2.6,5
15256,08/06/2019 20:30,Plain Naan,1,2.6,8
15253,08/06/2019 19:38,Plain Naan,1,2.6,11
15247,08/06/2019 18:21,Plain Naan,1,2.6,9
15221,07/06/2019 19:13,Plain Naan,2,2.6,4
15205,06/06/2019 19:13,Plain Naan,2,2.6,5
15204,06/06/2019 18:59,Plain Naan,1,2.6,6
15198,05/06/2019 20:50,Plain Naan,1,2.6,9
15182,04/06/2019 19:17,Plain Naan,1,2.6,4
15176,04/06/2019 18:12,Plain Naan,1,2.6,7
15158,02/06/2019 18:35,Plain Naan,1,2.6,10
15145,01/06/2019 19:29,Plain Naan,1,2.6,6
15133,01/06/2019 13:04,Plain Naan,4,2.6,7
15126,31/05/2019 19:48,Plain Naan,1,2.6,9
15114,31/05/2019 17:45,Plain Naan,2,2.6,9
15111,31/05/2019 17:11,Plain Naan,3,2.6,9
15100,29/05/2019 19:33,Plain Naan,2,2.6,10
15096,28/05/2019 22:55,Plain Naan,1,2.6,1
15089,28/05/2019 19:24,Plain Naan,1,2.6,8
15084,28/05/2019 18:56,Tandoori Roti,2,2.6,6
15083,28/05/2019 18:22,Plain Naan,1,2.6,6
15054,26/05/2019 20:23,Plain Naan,2,2.6,6
15043,26/05/2019 17:46,Plain Naan,2,2.6,11
15040,26/05/2019 12:38,Plain Naan,1,2.6,4
14992,24/05/2019 18:37,Plain Naan,2,2.6,7
14976,23/05/2019 16:44,Plain Naan,1,2.6,7
14966,22/05/2019 17:38,Plain Naan,1,2.6,4
14957,21/05/2019 18:07,Plain Naan,1,2.6,10
14933,19/05/2019 17:57,Plain Naan,1,2.6,9
14911,18/05/2019 20:38,Tandoori Roti,1,2.6,7
14905,18/05/2019 20:23,Plain Naan,1,2.6,9
14897,18/05/2019 19:22,Plain Naan,1,2.6,4
14893,18/05/2019 18:41,Plain Naan,1,2.6,3
14870,17/05/2019 19:28,Plain Naan,1,2.6,4
14866,17/05/2019 19:07,Plain Naan,1,2.6,10
14861,17/05/2019 18:15,Plain Naan,1,2.6,7
14856,17/05/2019 16:42,Plain Naan,2,2.6,4
14848,16/05/2019 18:52,Plain Naan,2,2.6,12
14817,14/05/2019 19:36,Plain Naan,1,2.6,6
14804,13/05/2019 15:46,Plain Naan,1,2.6,7
14773,11/05/2019 21:10,Plain Naan,2,2.6,5
14770,11/05/2019 20:28,Plain Naan,2,2.6,12
14766,11/05/2019 19:44,Plain Naan,1,2.6,6
14762,11/05/2019 19:34,Plain Naan,1,2.6,6
14753,11/05/2019 18:22,Plain Naan,1,2.6,4
14745,10/05/2019 20:31,Plain Naan,1,2.6,8
14734,10/05/2019 18:55,Plain Naan,1,2.6,5
14732,10/05/2019 18:30,Plain Naan,1,2.6,6
14716,08/05/2019 21:36,Plain Naan,1,2.6,6
14713,08/05/2019 19:11,Tandoori Roti,1,2.6,4
14712,08/05/2019 19:05,Plain Naan,1,2.6,4
14704,07/05/2019 18:41,Plain Naan,1,2.6,13
14695,06/05/2019 19:40,Plain Naan,1,2.6,3
14693,06/05/2019 18:53,Plain Naan,1,2.6,3
14692,06/05/2019 18:52,Plain Naan,1,2.6,4
14688,06/05/2019 18:03,Plain Naan,1,2.6,5
14684,06/05/2019 17:17,Plain Naan,1,2.6,4
14679,05/05/2019 20:41,Plain Naan,1,2.6,5
14663,05/05/2019 18:32,Plain Naan,1,2.6,10
14661,05/05/2019 18:07,Plain Naan,1,2.6,4
14657,05/05/2019 16:57,Plain Naan,2,2.6,5
14646,04/05/2019 19:41,Plain Naan,2,2.6,12
14640,04/05/2019 19:16,Plain Naan,1,2.6,6
14637,04/05/2019 18:57,Plain Naan,1,2.6,8
14632,04/05/2019 18:32,Plain Naan,1,2.6,10
14627,04/05/2019 13:54,Tandoori Roti,1,2.6,5
14622,03/05/2019 20:49,Plain Naan,1,2.6,4
14619,03/05/2019 20:23,Plain Naan,1,2.6,6
14592,02/05/2019 17:58,Plain Naan,2,2.6,3
14564,30/04/2019 12:52,Plain Naan,1,2.6,5
14542,28/04/2019 17:29,Plain Naan,3,2.6,4
14528,27/04/2019 19:31,Plain Naan,1,2.6,4
14515,27/04/2019 18:32,Plain Naan,1,2.6,7
14514,27/04/2019 18:30,Plain Naan,1,2.6,4
14511,27/04/2019 18:07,Plain Naan,1,2.6,10
14508,27/04/2019 17:38,Plain Naan,1,2.6,9
14504,26/04/2019 21:37,Tandoori Roti,1,2.6,8
14504,26/04/2019 21:37,Plain Naan,1,2.6,8
14501,26/04/2019 20:05,Plain Naan,1,2.6,5
14491,26/04/2019 17:22,Plain Naan,1,2.6,5
14481,25/04/2019 18:48,Plain Naan,1,2.6,7
14476,24/04/2019 20:41,Plain Naan,2,2.6,4
14474,24/04/2019 17:00,Plain Naan,1,2.6,4
14457,22/04/2019 19:34,Plain Naan,4,2.6,5
14453,22/04/2019 18:35,Plain Naan,1,2.6,9
14423,20/04/2019 19:09,Plain Naan,1,2.6,5
14417,20/04/2019 17:21,Tandoori Roti,1,2.6,9
14414,19/04/2019 21:41,Plain Naan,1,2.6,4
14413,19/04/2019 21:26,Plain Naan,1,2.6,3
14396,19/04/2019 17:43,Plain Naan,2,2.6,14
14387,18/04/2019 17:44,Plain Naan,1,2.6,7
14383,17/04/2019 20:51,Plain Naan,1,2.6,5
14371,17/04/2019 18:51,Plain Naan,1,2.6,7
14366,16/04/2019 21:04,Plain Naan,2,2.6,7
14362,16/04/2019 19:27,Plain Naan,1,2.6,6
14339,14/04/2019 19:53,Plain Naan,2,2.6,11
14329,14/04/2019 18:40,Plain Naan,1,2.6,9
